Title,Link,Description,Date
Mr. Cooper Hackers Stole Personal Data on 14 Million Customers  (techcrunch.com),https://techcrunch.com/2023/12/18/mr-cooper-hackers-stole-personal-data-on-14-million-customers/,"Hackers stole the sensitive personal information of more than 14.6 million Mr. Cooper customers, the mortgage and loan giant has confirmed. From a report: In a filing with Maine's attorney general's office, Mr. Cooper said the hackers stole customer names, addresses, dates of birth and phone numbers, as well as customer Social Security numbers and bank account numbers. Mr. Cooper previously said that customer banking information was stored by a third-party company and believed to be unaffected. Mr. Cooper said in a separate filing with federal regulators on Friday that hackers obtained personal data on ""substantially all of our current and former customers."" 

The number of affected victims is significantly higher than the four million existing customers that Mr. Cooper claims on its website, likely because of the historical data that the company stores on mortgage holders. Mr. Cooper said in its data breach notification letter to affected victims that the stolen data includes personal information on those whose mortgage was previously acquired or serviced by the company when it was known as Nationstar Mortgage, prior to its rebranding as Mr. Cooper. The company said affected customers may include those whose mortgages were serviced by a sister brand.","on Monday December 18, 2023 @02:20PM"
OpenAI Lays Out Plan For Dealing With Dangers of AI  (washingtonpost.com),https://www.washingtonpost.com/technology/2023/12/18/open-ai-preparedness-bioweapons-madry/,"OpenAI, the AI company behind ChatGPT, laid out its plans for staying ahead of what it thinks could be serious dangers of the tech it develops, such as allowing bad actors to learn how to build chemical and biological weapons. From a report: OpenAI's ""Preparedness"" team, led by MIT AI professor Aleksander Madry, will hire AI researchers, computer scientists, national security experts and policy professionals to monitor its tech, continually test it and warn the company if it believes any of its AI capabilities are becoming dangerous. The team sits between OpenAI's ""Safety Systems"" team, which works on existing problems like infusing racist biases into AI, and the company's ""Superalignment"" team, which researches how to make sure AI doesn't harm humans in an imagined future where the tech has outstripped human intelligence completely. 

[...] Madry, a veteran AI researcher who directs MIT's Center for Deployable Machine Learning and co-leads the MIT AI Policy Forum, joined OpenAI earlier this year. He was one of a small group of OpenAI leaders who quit when Altman was fired by the company's board in November. Madry returned to the company when Altman was reinstated five days later. OpenAI, which is governed by a nonprofit board whose mission is to advance AI and make it helpful for all humans, is in the midst of selecting new board members after three of the four board members who fired Altman stepped down as part of his return. Despite the leadership ""turbulence,"" Madry said he believes OpenAI's board takes seriously the risks of AI that he is researching. ""I realized if I really want to shape how AI is impacting society, why not go to a company that is actually doing it?""","on Monday December 18, 2023 @01:40PM"
Imran Khan Deploys AI Clone To Campaign From Behind Bars in Pakistan  (theguardian.com),https://www.theguardian.com/world/2023/dec/18/imran-khan-deploys-ai-clone-to-campaign-from-behind-bars-in-pakistan,"AI allowed Pakistan's former prime minister Imran Khan to campaign from behind bars on Monday, with a voice clone of the opposition leader giving an impassioned speech on his behalf. From a report: Khan has been locked up since August and is being tried for leaking classified documents, allegations he says have been trumped up to stop him contesting general elections due in February. His Pakistan Tehreek-e-Insaf (PTI) party used artificial intelligence to make a four-minute message from the 71-year-old, headlining a ""virtual rally"" hosted on social media overnight on Sunday into Monday despite internet disruptions that monitor NetBlocks said were consistent with previous attempts to censor Khan. 

PTI said Khan sent a shorthand script through lawyers that was fleshed out into his rhetorical style. The text was then dubbed into audio using a tool from the AI firm ElevenLabs, which boasts the ability to create a ""voice clone"" from existing speech samples. ""My fellow Pakistanis, I would first like to praise the social media team for this historic attempt,"" the voice mimicking Khan said. ""Maybe you all are wondering how I am doing in jail,"" the stilted voice adds. ""Today, my determination for real freedom is very strong."" The audio was broadcast at the end of a five-hour live-stream of speeches by PTI supporters on Facebook, X and YouTube, and was overlaid with historic footage of Khan and still images.","on Monday December 18, 2023 @01:00PM"
US Lawmakers Warn Biden To Probe EU Targeting of Tech Firms  (yahoo.com),https://finance.yahoo.com/news/exclusive-us-lawmakers-urge-biden-154416105.html,"A bipartisan group of lawmakers has written to U.S. President Joe Biden, warning European technology regulation are unfairly targeting U.S. companies and not including many Chinese or EU firms, according to a letter seen by Reuters on Monday. From the report: Under the European Union's Digital Markets Act (DMA), five major U.S. tech companies -- Alphabet, Amazon, Apple, Meta and Microsoft -- were designated ""gatekeeper"" service providers. From March 2024, these companies -- as well as TikTok's Chinese owner ByteDance -- will be required to make their messaging apps work with rivals and let users choose which ones they want pre-installed on their devices.  

In a letter seen by Reuters, 21 members of the U.S. House of Representatives warned the new rules could damage American economic and security interests and called on Biden to secure commitments from the EU the rules will be enforced fairly. ""Securing our leadership in this sector is imperative for our economy and American workers,"" the letter said. ""The designation of leading U.S. companies as 'gatekeepers' threatens to upend the U.S. economy, diminish our global leadership in the digital sphere, and jeopardize the security of consumers."" 

The letter questioned why Chinese companies Alibaba, Huawei, and Tencent had avoided designation and why European companies had avoided any scrutiny. ""The EU inexplicably failed to designate any European retailers, content-sharing platforms, payment firms, and telcos,"" it said. Signatories of the letter -- including Representative Lou Correa, a Democrat, and Thomas Massie, a Republican, -- called on Biden to seek assurances from EU lawmakers the DMA will not be unfairly used to target U.S. companies.","on Monday December 18, 2023 @12:20PM"
Lawmakers Push DOJ To Investigate Apple Following Beeper Shutdowns  (theverge.com),https://www.theverge.com/2023/12/18/24006037/apple-beeper-doj-investigation-imessage-letter-android,"Following a tumultuous few weeks for Beeper, which has been trying to provide an iMessage-compatible Android app, a group of US lawmakers are pushing for the DOJ to investigate Apple for ""potentially anticompetitive conduct"" over its attempts to disable Beeper's services. From a report: Senators Amy Klobuchar (D-MN) and Mike Lee (R-UT) as well as Representatives Jerry Nadler (D-NY) and Ken Buck (R-CO) said in a letter to the DOJ that Beeper's Android messaging app, Beeper Mini, was a threat to Apple's leverage by ""creating [a] more competitive mobile applications market, which in turn [creates] a more competitive mobile device market."" 

In an interview with CBS News on Monday, Beeper CEO Eric Migicovsky and 16-year-old developer James Gill talked about the fight to keep Beeper Mini alive. Migicovsky told CBS News that Beeper is trying to provide a service people want and reiterated his belief that Apple has a monopoly over its iMessage service. The company created Beeper Mini after being contacted by Gill, who said he reverse-engineered the software by ""poking at it"" using a ""real Mac and a real iPhone."" [...] The lawmakers' letter also pointed to a Department of Commerce report calling Apple a ""gatekeeper,"" mirroring language used in the EU Digital Markets Act (DMA) that went into force earlier this year, regulating the ""core"" services of several tech platforms (though, notably, iMessage may not be included in this). They went on to cite Migicovsky's December 2021 Senate Judiciary Committee testimony that ""the dominant messaging services would use their position to impose barriers to interoperability"" and keep companies like Beeper from offering certain services. ""Given Apple's recent actions, that concern appears prescient,"" they added.","on Monday December 18, 2023 @11:40AM"
Southwest Will Pay a $140 Million Fine For Its Meltdown During the 2022 Holidays,,"Southwest Airlines is still paying for its meltdown during the 2022 holidays that stranded millions of travelers -- and the tab is growing. From a report: The U.S. Transportation Department has ordered Southwest to pay a $140 million civil penalty, part of a broader consent order after the airline's operational failures a year ago. That penalty is by far the largest the DOT has ever levied for consumer protection violations, according to a statement from the department. ""This is not just about Southwest,"" Transportation Secretary Pete Buttigieg said in an interview with NPR's Morning Edition on Monday. ""This is about the entire industry, sending a signal that you should not be cutting corners -- because if you fail your passengers, we will hold you accountable."" 

A major winter storm last December caused travel disruptions across the country as airlines canceled thousands of flights. But while other airlines recovered relatively quickly, Southwest fell apart. The airline ultimately canceled 16,900 flights, stranding more than 2 million passengers. In a statement, Southwest described the agreement as ""a consumer-friendly settlement."" The airline says it has taken steps since last year's disruption to improve its operational resiliency and customer care.","on Monday December 18, 2023 @11:00AM"
Documents Reveal Hidden Problems at Russia's Nuclear Powerhouse,,"An anonymous reader shares a report: As Russian troops poured into Ukraine at the start of Vladimir Putin's invasion in February last year, alarm was rising at a flagship Kremlin nuclear project in neighboring Belarus, just a short distance from the European Union's border. Engineers at Rosatom preparing a new 1,200-megawatt reactor, which was not yet connected to the power grid, to generate electricity at the Astravets Nuclear Power Plant detected a mysterious and exceedingly rare problem. Resin was seeping into the primary circuit, threatening to seize up critical components, according to internal documents of the Russian state nuclear corporation seen by Bloomberg. 

Control rods and fuel assemblies risked being damaged or broken if the problem persisted when uranium atoms began fissioning. In the worst case, according to people familiar with the problem, accumulation of so-called ion-exchange resin, which regulates the purity of water flowing through plant channels and pipes, could impede reactor control, elevating the risk of a meltdown if something went wrong once it was online. So on February 25, 2022, Rosatom pulled the plug temporarily on its freshly fueled unit in northwest Belarus, delaying its launch. 

Nuclear engineers said Rosatom followed safety procedures by interrupting physical startup of the reactor in order to investigate. Still, the problem compounded delays that pushed back commercial operations more than a year. When the reactor was turned on for the first time in March, Belarusian President Alexander Lukashenko confirmed there were problems to state media. ""There were certain shortcomings in the construction,"" he said. ""The delay is due to our determination to stick to very high safety standards."" The water contamination incident, which was previously flagged by Lithuanian intelligence, is among a series of problems, including shortages of skilled labor, delayed shipments, and defective supplies, that Rosatom faced in recent years and which have continued in the wake of Putin's war against Ukraine, according to the documents and interviews with European officials familiar with the assessments.","on Monday December 18, 2023 @10:20AM"
Deloitte Is Looking To AI To Help Avoid Mass Layoffs in Future  (bloomberg.com),https://www.bloomberg.com/news/articles/2023-12-17/ai-could-be-helping-deloitte-avoid-mass-layoffs-in-the-future,"The giants of the consulting world face an unusual quandary this year: many of them are in the process of dismissing hundreds of staffers even after they hired thousands of college graduates to deal with new demand. Now, one of the biggest of them all is looking to AI to change that. From a report: Deloitte is using AI to evaluate existing staffers' skills and map out plans that would shift employees away from quieter parts of the business and into roles that are more in demand. It's part of a broader bet by the professional services firm that the technology will allow it to moderate hiring growth over time. 

The moves come after Deloitte added 130,000 staffers this year. But in the midst of those hirings, though, the firm warned thousands of staffers in the US and UK that their jobs were at risk of becoming redundant after the company was forced to restructure certain areas of the business in response to a slowdown in demand. ""It is obviously a great objective to be able to avoid large swings of hirings and layoffs,"" said Stevan Rolls, global chief talent officer at Deloitte. ""You could always be more efficient and effective about finding the right people.""","on Monday December 18, 2023 @09:40AM"
Adobe Abandons $20 Billion Acquisition of Figma  (theverge.com),https://www.theverge.com/2023/12/18/24005996/adobe-figma-acquisition-abandoned-termination-fee,"Following mounting pressure from regulators in the UK and EU, Adobe and Figma announced on Monday that both companies are mutually terminating their merger agreement, which would have seen Adobe acquire the Figma product design platform for $20 billion. From a report: As a result of the termination, Adobe will be required to pay Figma a reverse termination fee of $1 billion in cash. ""Adobe and Figma strongly disagree with the recent regulatory findings, but we believe it is in our respective best interests to move forward independently,"" said Adobe chair and CEO Shantanu Narayen in a statement. ""While Adobe and Figma shared a vision to jointly redefine the future of creativity and productivity, we continue to be well positioned to capitalize on our massive market opportunity and mission to change the world through personalized digital experiences.""","on Monday December 18, 2023 @09:00AM"
2023's Online 'Advent Calendars' Challenge Programmers With Tips and Puzzles,,"It's a geek tradition that started online back in 2000.  Programming language ""advent calendars"" offer daily tips about a programming language (if not a Christmas-themed programming puzzle) -- one a day through December 25th. 

And 2023 finds a wide variety of fun sites to choose from:


li>For example, there's 24 coding challenges at the Advent of JavaScript site (where ""each challenge includes all the HTML and CSS you need to get started, allowing you to focus on the JavaScript."")  And there's another 24 coding challenges on a related site... Advent of CSS. The cyber security training platform ""TryHackMe.com"" even coded up a site they call ""Advent of Cyber,"" daring puzzle-solvers to ""kickstart your cyber security career by engaging in a new, beginner-friendly exercise every day leading up to Christmas!"" The programming puzzles at Advent of Code are continuing through the 25th (though so far less than 30,000 people have solved both parts of Saturday's challenge.) Every year since 2000 there's also been a new edition of the Perl Advent Calendar, and this month Year 23 started off with goodies from Perl's massive module repository, CPAN. (Specifically its elf-themed story references the Music::MelodicDevice::Ornamentation module) -- along with the MIDI::Util library and TiMidity++, a software synthesizer that can play MIDI files without a hardware synthesizer.) Meanwhile, since 2009 there's also been an advent calendar for Raku (the programming language formerly known as Perl 6), promising an article a day.  (Day One's entry was titled ""Rocking Raku Meets Stodgy Debian..."") James Bennett, from the Django project's core team, is even attempting a Python/Django Advent calendar. There's also a JVM advent calendar for the Java Virtual Machine, plus another advent calendar promising daily posts about C#. The HTMHell site â"" which bills itself as ""a collection of bad practices in HTML, copied from real websites"" -- is celebrating the season with the ""HTMHell Advent Calendar,"" promising daily articles on security, accessibility, UX, and performance.","on Monday December 18, 2023 @07:34AM"
